EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted,period
AMSRIC FOODS LIMITED,"21 - 25 Church Street West 21- 25 Church Street West,
Woking,
Surrey,
England,
GU21 6DJ",02770878,56103,-1.0,0.0,34.0,23.0,14.0,17.0,73.0,27.0,71.0,29.0,60.0,40.0,70.0,30.0,https://www.amsric.co.uk/,Carly Hughes (Payroll Manager),1000 to 4999,AMSRIC FOODS LIMITED,False,05/04/2019 00:00:00,03/04/2019 18:07:43,2018-19
AMSRIC LIMITED,"21- 25 Church Street West,
Woking,
Surrey,
England,
GU21 6DJ",08576967,56102,5.0,0.0,55.0,13.0,56.0,58.0,31.0,69.0,42.0,58.0,35.0,65.0,37.0,63.0,https://www.amsric.co.uk/,Carly Hughes (Payroll Manager),250 to 499,AMSRIC LIMITED,False,05/04/2019 00:00:00,03/04/2019 18:22:16,2018-19
ASSOCIATED WASTE MANAGEMENT LIMITED,"St Bernard's Mill Gelderd Road, Gildersome, Morley,
Leeds,
West Yorkshire,
LS27 7NA",04092555,"38110,
38210",-17.6,-14.0,,,0.0,0.0,92.3,7.7,96.9,3.1,80.0,20.0,84.6,15.4,http://www.awm.uk.com/GPR%20April%202019.pdf,Colette Bloom (Finance Director),250 to 499,ASSOCIATED WASTE MANAGEMENT LIMITED,True,05/04/2019 00:00:00,24/05/2019 16:38:03,2018-19
BROTHERS OF CHARITY SERVICES (SCOTLAND),"Triest House, Bridge Street,
Galashiels,
Selkirkshire,
Scotland,
TD1 1SW",SC318036,86900,0.0,-1.0,0.0,0.0,0.0,0.0,30.0,70.0,31.0,69.0,34.0,66.0,25.0,75.0,http://bocscot.org/,Allistair Matheson (Director of Finance and Central Services),Less than 250,BROTHERS OF CHARITY SERVICES (SCOTLAND),False,05/04/2019 00:00:00,11/05/2018 11:31:32,2018-19
Grace Academy,"The Pavilion,
Manor Drive,
Coleshill,
West Midlands,
United Kingdom,
B46 1DL",04967658,"1,
85310",8.6,1.9,100.0,100.0,2.1,0.0,35.0,65.0,23.0,77.0,28.0,72.0,34.0,66.0,https://graceacademy.org.uk/information/finance/,,250 to 499,Grace Academy,False,31/03/2019 00:00:00,12/11/2018 09:24:12,2018-19
Livability,"6 Mitre Passage,
London,
England,
SE10 0ER",05967087,"85320,
87300,
88100,
88990",12.0,4.0,,,0.0,0.0,23.0,77.0,14.0,86.0,17.5,82.5,24.0,76.0,https://www.livability.org.uk,Helen England (CEO),1000 to 4999,Livability,True,05/04/2019 00:00:00,21/06/2019 15:33:31,2018-19
NORTHERN AUTOMOTIVE SYSTEMS LIMITED,"Gilwern Park Ty Mawr Road,
Gilwern,
Abergavenny,
Monmouthshire,
Wales,
NP7 0EB",02776653,29320,7.8,0.0,55.2,28.6,4.0,4.0,70.3,29.7,91.9,8.1,51.4,48.6,76.4,23.6,,Aaron Carr (Plant Manager),500 to 999,NORTHERN AUTOMOTIVE SYSTEMS LIMITED,True,05/04/2019 00:00:00,15/05/2019 13:37:27,2018-19
Safran Landing Systems Services UK Ltd,"Meteor Business Park,
Cheltenham Road East,
Gloucester,
Gloucestershire,
United Kingdom,
GL2 9QL",03528628,33160,1.6,1.7,12.7,0.0,92.1,96.2,83.3,16.7,90.9,9.1,93.9,6.1,92.5,7.5,,Zoe Townsend (HR Service Delivery Specialist),250 to 499,Safran Landing Systems Services UK Ltd,True,05/04/2019 00:00:00,15/05/2019 16:28:30,2018-19
Synaptic Trust,"West Thornton Primary Academy,
Rosecourt Road,
Croydon,
Surrey,
United Kingdom,
CR0 3BS",07588104,"1,
85200",20.0,23.8,,,0.0,0.0,5.3,94.7,4.0,96.0,13.3,86.7,12.0,88.0,http://thesynaptictrust.org/,,250 to 499,Synaptic Trust,True,31/03/2019 00:00:00,08/05/2019 13:13:42,2018-19
THAMES WATER UTILITIES LIMITED,"Clearwater Court,
Vastern Road,
Reading,
Berkshire,
United Kingdom,
RG1 8DB",02366661,36000,10.8,12.5,-5.7,33.3,18.7,15.0,60.0,40.0,67.0,33.0,72.0,28.0,74.0,26.0,https://corporate.thameswater.co.uk/About-us/Corporate-responsibility-and-sustainability/Gender-pay-gap-reporting,Janet Burr (HR Director),"5000 to 19,999",THAMES WATER UTILITIES LIMITED,False,05/04/2019 00:00:00,24/08/2018 09:25:49,2018-19
