EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted,period
AMSRIC FOODS LIMITED,"21 - 25 Church Street West 21- 25 Church Street West,
Woking,
Surrey,
England,
GU21 6DJ",02770878,56103,25.0,6.0,39.0,20.0,23.0,25.0,60.0,40.0,58.0,42.0,59.0,41.0,68.0,32.0,https://www.amsric.co.uk/,Carly Hughes (Payroll Manager),1000 to 4999,AMSRIC FOODS LIMITED,False,05/04/2020 00:00:00,28/06/2019 12:12:19,2019-20
AMSRIC LIMITED,"21- 25 Church Street West,
Woking,
Surrey,
England,
GU21 6DJ",08576967,56102,23.0,5.0,46.0,-47.0,39.0,47.0,28.0,72.0,28.0,72.0,28.0,72.0,40.0,60.0,https://www.amsric.co.uk/,Carly Hughes (Payroll Manager),250 to 499,AMSRIC LIMITED,False,05/04/2020 00:00:00,28/06/2019 12:23:34,2019-20
ASSOCIATED WASTE MANAGEMENT LIMITED,"St Bernard's Mill Gelderd Road, Gildersome, Morley,
Leeds,
West Yorkshire,
LS27 7NA",04092555,"38110,
38210",17.6,14.0,,,0.0,0.0,92.3,7.7,96.9,3.1,80.0,20.0,84.6,15.4,,Colette Bloom (Finance Director),250 to 499,ASSOCIATED WASTE MANAGEMENT LIMITED,False,05/04/2020 00:00:00,24/05/2019 16:11:13,2019-20
Brookvale Groby Learning Trust,"Ratby Road,
Groby,
Leicester,
LE6 0GH",,1,14.9,31.6,,,0.0,0.0,17.0,83.0,22.0,78.0,33.3,66.7,28.8,71.2,,,250 to 499,Brookvale Groby Learning Trust,False,31/03/2020 00:00:00,01/04/2019 15:05:06,2019-20
BROTHERS OF CHARITY SERVICES (SCOTLAND),"Triest House, Bridge Street,
Galashiels,
Selkirkshire,
Scotland,
TD1 1SW",SC318036,"86900,
88100",-2.0,-1.0,,,0.0,0.0,34.0,66.0,24.0,76.0,32.0,68.0,25.0,75.0,http://bocscot.org/,Allistair Matheson (Director of Finance and Central Services),Less than 250,BROTHERS OF CHARITY SERVICES (SCOTLAND),False,05/04/2020 00:00:00,28/06/2019 11:52:14,2019-20
Fresh Start Recruitment (UK) Ltd,"Innisdoon,
Crow Hill Drive,
Mansfield,
Nottinghamshire,
England,
NG19 7AE",05106224,78200,1.0,0.0,73.0,80.0,0.1,1.5,62.0,38.0,63.0,37.0,64.0,36.0,66.0,34.0,,Rob Jones (Finance Manager),500 to 999,Fresh Start Recruitment (UK) Ltd,False,05/04/2020 00:00:00,05/04/2019 09:35:05,2019-20
Grace Academy,"The Pavilion,
Manor Drive,
Coleshill,
West Midlands,
United Kingdom,
B46 1DL",04967658,"1,
85310",12.1,0.2,,,0.0,0.0,29.0,71.0,30.0,70.0,25.0,75.0,34.0,66.0,,,250 to 499,Grace Academy,False,31/03/2020 00:00:00,28/06/2019 11:03:58,2019-20
GREENCROFT BOTTLING COMPANY  LIMITED,"Unit 1, Greencroft Estate,
Tower Road Annfield Plain,
Stanley,
County Durham,
DH9 7XP",04768870,"46342,
82920",5.2,4.0,9.1,0.0,84.0,86.0,84.0,16.0,83.0,17.0,83.0,17.0,84.0,16.0,https://www.greencroftbottling.com/,Mark Satchwell (Managing Director),250 to 499,GREENCROFT BOTTLING COMPANY  LIMITED,False,05/04/2020 00:00:00,23/04/2019 16:11:38,2019-20
HSBC UK BANK PLC,"1, Centenary Square,
Birmingham,
United Kingdom,
B1 1HQ",09928412,64191,32.0,18.7,59.7,44.3,87.0,87.0,32.0,68.0,27.0,73.0,34.0,66.0,58.0,42.0,https://www.hsbc.com/-/files/hsbc/our-approach/measuring-our-impact/pdfs/190612-uk-gender-pay-gap-report-2019.pdf?download=1,Elaine Arden (Group Chief Human Resources Officer),"20,000 or more",HSBC UK BANK PLC,False,05/04/2020 00:00:00,13/06/2019 06:43:34,2019-20
IN TOUCH GAMES LIMITED,"Fountain House, Great Cornbow,
Halesowen,
West Midlands,
B63 3BL",04629082,92000,-5.4,10.4,25.1,-143.8,60.7,63.9,43.0,57.0,69.0,31.0,84.0,16.0,63.0,37.0,,Harriet Grant (HR Manager),250 to 499,IN TOUCH GAMES LIMITED,False,05/04/2020 00:00:00,10/06/2019 10:35:11,2019-20
